source,target,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,dip_url,curation_effort,references,sources,type,references_stripped,n_references,n_sources,n_primary_sources,category_intercell_source,parent_intercell_source,database_intercell_source,scope_intercell_source,aspect_intercell_source,category_source_intercell_source,uniprot_intercell_source,genesymbol_intercell_source,entity_type_intercell_source,consensus_score_intercell_source,transmitter_intercell_source,receiver_intercell_source,secreted_intercell_source,plasma_membrane_transmembrane_intercell_source,plasma_membrane_peripheral_intercell_source,category_intercell_target,parent_intercell_target,database_intercell_target,scope_intercell_target,aspect_intercell_target,category_source_intercell_target,uniprot_intercell_target,genesymbol_intercell_target,entity_type_intercell_target,consensus_score_intercell_target,transmitter_intercell_target,receiver_intercell_target,secreted_intercell_target,plasma_membrane_transmembrane_intercell_target,plasma_membrane_peripheral_intercell_target
P37840,O14939,FALSE,TRUE,TRUE,FALSE,TRUE,,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P37840,SNCA,protein,1,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;HPMR;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;Baccin2019;SignaLink_function;OmniPath,generic,functional,resource_specific,O14939,PLD2,protein,7,FALSE,TRUE,FALSE,FALSE,FALSE
P09038,O75056,FALSE,FALSE,FALSE,FALSE,FALSE,,8,Baccin2019:16982797;Baccin2019:8344959;CellTalkDB:16982797;HPRD:16982797;HPRD:8344959;LRdb:16982797;LRdb:83;connectomeDB2020:8344959,Baccin2019;CellTalkDB;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;connectomeDB2020;iTALK;talklr,post_translational,16982797;83;8344959,3,14,9,ligand,ligand,,generic,functional,resource_specific,P09038,FGF2,protein,17,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,talklr;connectomeDB2020;iTALK;CellCellInteractions;EMBRACE;CellPhoneDB;GO_Intercell;HPMR;ICELLNET;CellTalkDB;Ramilowski2015;LRdb;Baccin2019;OmniPath,generic,functional,resource_specific,O75056,SDC3,protein,11,FALSE,TRUE,FALSE,TRUE,FALSE
P21741,O75056,FALSE,FALSE,FALSE,FALSE,FALSE,,5,Baccin2019:9089390;CellTalkDB:9089390;HPRD:9089390;LRdb:9089390;connectomeDB2020:9089390,Baccin2019;CellTalkDB;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;connectomeDB2020;iTALK;talklr,post_translational,9089390,1,13,9,ligand,ligand,,generic,functional,resource_specific,P21741,MDK,protein,15,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,Adhesome;OmniPath,generic,functional,resource_specific,O75056,SDC3,protein,11,FALSE,TRUE,FALSE,TRUE,FALSE
P21246,O75056,TRUE,FALSE,TRUE,TRUE,FALSE,,6,Baccin2019:8175719;CellChatDB:25620911;CellChatDB:28356350;HPRD:8175719;LRdb:8175719;connectomeDB2020:8175719,Baccin2019;CellChatDB;CellTalkDB;EMBRACE;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr,post_translational,25620911;28356350;8175719,3,16,11,ligand,ligand,,generic,functional,resource_specific,P21246,PTN,protein,16,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,MCAM;Adhesome;OmniPath,generic,functional,resource_specific,O75056,SDC3,protein,11,FALSE,TRUE,FALSE,TRUE,FALSE
P10145,O75056,FALSE,FALSE,FALSE,FALSE,FALSE,,1,CellTalkDB:32196115,CellTalkDB;Fantom5_LRdb;LRdb;STRING_talklr;iTALK;talklr,post_translational,32196115,1,6,4,ligand,ligand,,generic,functional,resource_specific,P10145,CXCL8,protein,14,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,talklr;iTALK;CellCellInteractions;GO_Intercell;CellChatDB;CellTalkDB;Ramilowski2015;LRdb;Baccin2019;OmniPath,generic,functional,resource_specific,O75056,SDC3,protein,11,FALSE,TRUE,FALSE,TRUE,FALSE
O00253,O75056,FALSE,FALSE,FALSE,FALSE,FALSE,,5,CellTalkDB:11461706;LRdb:11461706;Ramilowski2015:11461706;connectomeDB2020:11461706;talklr:11461706,Baccin2019;CellTalkDB;EMBRACE;Fantom5_LRdb;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;connectomeDB2020;iTALK;talklr,post_translational,11461706,1,11,8,ligand,ligand,,generic,functional,resource_specific,O00253,AGRP,protein,15,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,CellCellInteractions;CellChatDB;OmniPath,generic,functional,resource_specific,O75056,SDC3,protein,11,FALSE,TRUE,FALSE,TRUE,FALSE
O60542,O75056,FALSE,FALSE,FALSE,FALSE,FALSE,,1,CellTalkDB:32196115,CellTalkDB;Fantom5_LRdb;LRdb;STRING_talklr;iTALK;talklr,post_translational,32196115,1,6,4,ligand,ligand,,generic,functional,resource_specific,O60542,PSPN,protein,13,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,talklr;connectomeDB2020;iTALK;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;GO_Intercell;HPMR;ICELLNET;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;Guide2Pharma;LRdb;Baccin2019;OmniPath,generic,functional,resource_specific,O75056,SDC3,protein,11,FALSE,TRUE,FALSE,TRUE,FALSE
P07996,O75056,TRUE,FALSE,TRUE,TRUE,FALSE,,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P07996,THBS1,protein,7,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;GO_Intercell;HPMR;ICELLNET;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;Baccin2019;SignaLink_function;OmniPath,generic,functional,resource_specific,O75056,SDC3,protein,11,FALSE,TRUE,FALSE,TRUE,FALSE
P35442,O75056,TRUE,FALSE,TRUE,TRUE,FALSE,,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P35442,THBS2,protein,8,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;CellPhoneDB;ICELLNET;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;Baccin2019;SignaLink_function;OmniPath,generic,functional,resource_specific,O75056,SDC3,protein,11,FALSE,TRUE,FALSE,TRUE,FALSE
P49747,O75056,TRUE,FALSE,TRUE,TRUE,FALSE,,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P49747,COMP,protein,2,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;HGNC;HPMR;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;Guide2Pharma;LRdb;Baccin2019;OmniPath,generic,functional,resource_specific,O75056,SDC3,protein,11,FALSE,TRUE,FALSE,TRUE,FALSE
P24821,O75056,TRUE,FALSE,TRUE,TRUE,FALSE,,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P24821,TNC,protein,9,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,Zhong2015;OmniPath,generic,functional,resource_specific,O75056,SDC3,protein,11,FALSE,TRUE,FALSE,TRUE,FALSE
P12111,O75056,TRUE,FALSE,TRUE,TRUE,FALSE,,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P12111,COL6A3,protein,3,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,Zhong2015;HGNC;OmniPath,generic,functional,resource_specific,O75056,SDC3,protein,11,FALSE,TRUE,FALSE,TRUE,FALSE
Q9BY76,O75056,FALSE,FALSE,FALSE,FALSE,FALSE,,1,CellChatDB:29017031,CellChatDB,post_translational,29017031,1,1,1,ligand,ligand,,generic,functional,resource_specific,Q9BY76,ANGPTL4,protein,7,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,OmniPath,generic,functional,resource_specific,O75056,SDC3,protein,11,FALSE,TRUE,FALSE,TRUE,FALSE
A6NMZ7,O75056,TRUE,FALSE,TRUE,TRUE,FALSE,,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,A6NMZ7,COL6A6,protein,1,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;GO_Intercell;HPMR;CellTalkDB;Surfaceome;Ramilowski2015;Kirouac2010;Guide2Pharma;LRdb;Baccin2019;SignaLink_function;OmniPath,generic,functional,resource_specific,O75056,SDC3,protein,11,FALSE,TRUE,FALSE,TRUE,FALSE
P35443,O75056,TRUE,FALSE,TRUE,TRUE,FALSE,,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P35443,THBS4,protein,2,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;HPMR;ICELLNET;CellTalkDB;Surfaceome;Ramilowski2015;Kirouac2010;Guide2Pharma;LRdb;Baccin2019;OmniPath,generic,functional,resource_specific,O75056,SDC3,protein,11,FALSE,TRUE,FALSE,TRUE,FALSE
P13942,O75056,TRUE,FALSE,TRUE,TRUE,FALSE,,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P13942,COL11A2,protein,1,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,GO_Intercell;OmniPath,generic,functional,resource_specific,O75056,SDC3,protein,11,FALSE,TRUE,FALSE,TRUE,FALSE
O94813,P43146,FALSE,FALSE,FALSE,FALSE,FALSE,,1,CellTalkDB:32196115,CellTalkDB;EMBRACE;Fantom5_LRdb;LRdb;STRING_talklr;iTALK;talklr,post_translational,32196115,1,7,5,ligand,ligand,,generic,functional,resource_specific,O94813,SLIT2,protein,9,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,DGIdb;OmniPath,generic,functional,resource_specific,P43146,DCC,protein,12,FALSE,TRUE,FALSE,TRUE,FALSE
O95631,P43146,TRUE,FALSE,TRUE,TRUE,FALSE,http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=185137,23,Baccin2019:10399920;Baccin2019:12810718;Baccin2019:8861902;Baccin2019:9950216;BioGRID:12810718;BioGRID:9950216;CellTalkDB:8861902;DIP:19721007;HPMR:11239160;HPMR:12810718;HPMR:8861902;HPRD:12810718;HPRD:9950216;IntAct:19721007;IntAct:26190107;LRdb:10399920;LRdb:12810718;LRdb:8861902;LRdb:9950216;connectomeDB2020:10399920;connectomeDB2020:12810718;connectomeDB2020:8861902;connectomeDB2020:9950216,Baccin2019;BioGRID;CellTalkDB;DIP;EMBRACE;Fantom5_LRdb;HPMR;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;IntAct;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr,post_translational,10399920;11239160;12810718;19721007;26190107;8861902;9950216,7,21,14,ligand,ligand,,generic,functional,resource_specific,O95631,NTN1,protein,10,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,Zhong2015;OmniPath,generic,functional,resource_specific,P43146,DCC,protein,12,FALSE,TRUE,FALSE,TRUE,FALSE
Q9HB63,P43146,TRUE,FALSE,TRUE,TRUE,FALSE,http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=185774,5,Baccin2019:17174565;CellTalkDB:17174565;DIP:19721007;LRdb:17174565;connectomeDB2020:17174565,Baccin2019;CellTalkDB;DIP;EMBRACE;Fantom5_LRdb;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;connectomeDB2020;iTALK;talklr,post_translational,17174565;19721007,2,14,10,ligand,ligand,,generic,functional,resource_specific,Q9HB63,NTN4,protein,9,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,HGNC;OmniPath,generic,functional,resource_specific,P43146,DCC,protein,12,FALSE,TRUE,FALSE,TRUE,FALSE
Q8NBI3,P43146,FALSE,FALSE,FALSE,FALSE,FALSE,,1,CellTalkDB:29503192,CellTalkDB,post_translational,29503192,1,1,1,ligand,ligand,,generic,functional,resource_specific,Q8NBI3,DRAXIN,protein,1,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,OmniPath,generic,functional,resource_specific,P43146,DCC,protein,12,FALSE,TRUE,FALSE,TRUE,FALSE
P01137,P10747,TRUE,FALSE,TRUE,TRUE,FALSE,,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P01137,TGFB1,protein,19,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,OmniPath,generic,functional,resource_specific,P10747,CD28,protein,11,FALSE,TRUE,FALSE,TRUE,FALSE
P48023,P10747,FALSE,TRUE,TRUE,FALSE,TRUE,,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P48023,FASLG,protein,16,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,talklr;connectomeDB2020;iTALK;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;GO_Intercell;HPMR;ICELLNET;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;Guide2Pharma;LRdb;Baccin2019;OmniPath,generic,functional,resource_specific,P10747,CD28,protein,11,FALSE,TRUE,FALSE,TRUE,FALSE
P33681,P10747,TRUE,FALSE,TRUE,TRUE,FALSE,http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10940,17,BioGRID:1847722;CellChatDB:23954143;DIP:1847722;DIP:2164219;DIP:7964482;HPRD:7545666;ICELLNET:7545666;LRdb:22437870;Lit-BM-17:1847722;Lit-BM-17:2164219;Lit-BM-17:21982860;Lit-BM-17:7545666;Lit-BM-17:7964482;NetPath:2164219;SPIKE:15610849;SPIKE:21487479;connectomeDB2020:7545666,BioGRID;BioGRID_ICELLNET;CellChatDB;DIP;Guide2Pharma_ICELLNET;HPRD;ICELLNET;KEGG-MEDICUS;LRdb;Lit-BM-17;NetPath;Reactome_ICELLNET;SPIKE;Wang;Wojtowicz2020;connectomeDB2020;iTALK,post_translational,15610849;1847722;21487479;2164219;21982860;22437870;23954143;7545666;7964482,9,17,14,ligand,ligand,,generic,functional,resource_specific,P33681,CD80,protein,3,TRUE,FALSE,FALSE,TRUE,FALSE,receptor,receptor,Adhesome;OmniPath,generic,functional,resource_specific,P10747,CD28,protein,11,FALSE,TRUE,FALSE,TRUE,FALSE
P60568,P10747,TRUE,FALSE,TRUE,TRUE,FALSE,,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P60568,IL2,protein,19,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;CellPhoneDB;HPMR;ICELLNET;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;OmniPath,generic,functional,resource_specific,P10747,CD28,protein,11,FALSE,TRUE,FALSE,TRUE,FALSE
P29459,P10747,FALSE,FALSE,FALSE,FALSE,FALSE,,3,CellTalkDB:7516408;HPRD:7516408;LRdb:7516408,CellTalkDB;Fantom5_LRdb;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;iTALK;talklr,post_translational,7516408,1,9,6,ligand,ligand,,generic,functional,resource_specific,P29459,IL12A,protein,16,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,Adhesome;OmniPath,generic,functional,resource_specific,P10747,CD28,protein,11,FALSE,TRUE,FALSE,TRUE,FALSE
P04439,P10747,FALSE,TRUE,TRUE,FALSE,TRUE,,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P04439,HLA-A,protein,6,TRUE,FALSE,FALSE,TRUE,FALSE,receptor,receptor,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;CellPhoneDB;GO_Intercell;HPMR;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;OmniPath,generic,functional,resource_specific,P10747,CD28,protein,11,FALSE,TRUE,FALSE,TRUE,FALSE
O75144,P10747,FALSE,FALSE,FALSE,FALSE,FALSE,,2,connectomeDB2020:21530327;connectomeDB2020:23470321,CellChatDB;Wojtowicz2020;connectomeDB2020,post_translational,21530327;23470321,2,3,3,ligand,ligand,,generic,functional,resource_specific,O75144,ICOSLG,protein,4,TRUE,FALSE,FALSE,TRUE,FALSE,receptor,receptor,Adhesome;OmniPath,generic,functional,resource_specific,P10747,CD28,protein,11,FALSE,TRUE,FALSE,TRUE,FALSE
P01732,P10747,FALSE,TRUE,TRUE,FALSE,TRUE,,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P01732,CD8A,protein,1,TRUE,FALSE,TRUE,TRUE,FALSE,receptor,receptor,OmniPath,generic,functional,resource_specific,P10747,CD28,protein,11,FALSE,TRUE,FALSE,TRUE,FALSE
P01903,P10747,TRUE,FALSE,TRUE,TRUE,FALSE,,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,composite,P01903,HLA-DRA,protein,0,TRUE,FALSE,FALSE,TRUE,FALSE,receptor,receptor,OmniPath,generic,functional,resource_specific,P10747,CD28,protein,11,FALSE,TRUE,FALSE,TRUE,FALSE
P01911,P10747,TRUE,FALSE,TRUE,TRUE,FALSE,,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P01911,HLA-DRB1,protein,1,TRUE,FALSE,FALSE,TRUE,FALSE,receptor,receptor,talklr;connectomeDB2020;iTALK;EMBRACE;HPMR;CellTalkDB;Ramilowski2015;LRdb;Baccin2019;OmniPath,generic,functional,resource_specific,P10747,CD28,protein,11,FALSE,TRUE,FALSE,TRUE,FALSE
P10966,P10747,FALSE,TRUE,TRUE,FALSE,TRUE,,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P10966,CD8B,protein,1,TRUE,FALSE,TRUE,TRUE,FALSE,receptor,receptor,talklr;connectomeDB2020;iTALK;CellCellInteractions;EMBRACE;HPMR;CellTalkDB;Ramilowski2015;LRdb;OmniPath,generic,functional,resource_specific,P10747,CD28,protein,11,FALSE,TRUE,FALSE,TRUE,FALSE
P04628,P16671,FALSE,FALSE,FALSE,FALSE,FALSE,,1,InnateDB:25721714,CellPhoneDB;InnateDB;InnateDB_CellPhoneDB,post_translational,25721714,1,3,2,ligand,ligand,CellPhoneDB;OmniPath,generic,functional,resource_specific,P04628,WNT1,protein,16,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,OmniPath,generic,functional,resource_specific,P16671,CD36,protein,16,FALSE,TRUE,FALSE,TRUE,FALSE
P01308,P16671,TRUE,FALSE,TRUE,TRUE,FALSE,,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P01308,INS,protein,15,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,GO_Intercell;OmniPath,generic,functional,resource_specific,P16671,CD36,protein,16,FALSE,TRUE,FALSE,TRUE,FALSE
P0DJI8,P16671,FALSE,FALSE,FALSE,FALSE,FALSE,,1,connectomeDB2020:20075072,connectomeDB2020,post_translational,20075072,1,1,1,ligand,ligand,,generic,functional,resource_specific,P0DJI8,SAA1,protein,12,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,talklr;connectomeDB2020;iTALK;CellCellInteractions;EMBRACE;HGNC;GO_Intercell;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;Baccin2019;OmniPath,generic,functional,resource_specific,P16671,CD36,protein,16,FALSE,TRUE,FALSE,TRUE,FALSE
P07996,P16671,TRUE,FALSE,TRUE,TRUE,FALSE,,10,CellTalkDB:10487979;HPRD:10487979;HPRD:10772961;LRdb:10487979;LRdb:10772961;LRdb:1379600;Lit-BM-17:23640500;connectomeDB2020:10487979;connectomeDB2020:10772961;connectomeDB2020:1379600,CellChatDB;CellTalkDB;Fantom5_LRdb;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Lit-BM-17;Ramilowski2015;STRING_talklr;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr,post_translational,10487979;10772961;1379600;23640500,4,17,10,ligand,ligand,,generic,functional,resource_specific,P07996,THBS1,protein,7,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,Zhong2015;OmniPath,generic,functional,resource_specific,P16671,CD36,protein,16,FALSE,TRUE,FALSE,TRUE,FALSE
P35442,P16671,TRUE,FALSE,TRUE,TRUE,FALSE,,1,CellTalkDB:20714802,CellChatDB;CellTalkDB;LRdb;UniProt_LRdb;Wang,post_translational,20714802,1,5,4,ligand,ligand,,generic,functional,resource_specific,P35442,THBS2,protein,8,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;HPMR;ICELLNET;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;Baccin2019;OmniPath,generic,functional,resource_specific,P16671,CD36,protein,16,FALSE,TRUE,FALSE,TRUE,FALSE
P49747,P16671,TRUE,FALSE,TRUE,TRUE,FALSE,,1,CellTalkDB:30231922,CellChatDB;CellTalkDB;Wang,post_translational,30231922,1,3,3,ligand,ligand,,generic,functional,resource_specific,P49747,COMP,protein,2,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,HGNC;OmniPath,generic,functional,resource_specific,P16671,CD36,protein,16,FALSE,TRUE,FALSE,TRUE,FALSE
P05109,P16671,FALSE,FALSE,FALSE,FALSE,FALSE,,1,CellTalkDB:31794767,CellTalkDB,post_translational,31794767,1,1,1,ligand,ligand,,generic,functional,resource_specific,P05109,S100A8,protein,8,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,CellPhoneDB;OmniPath,generic,functional,resource_specific,P16671,CD36,protein,16,FALSE,TRUE,FALSE,TRUE,FALSE
P80511,P16671,FALSE,FALSE,FALSE,FALSE,FALSE,,1,CellTalkDB:27734162,CellTalkDB,post_translational,27734162,1,1,1,ligand,ligand,,generic,functional,resource_specific,P80511,S100A12,protein,2,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,Zhong2015;OmniPath,generic,functional,resource_specific,P16671,CD36,protein,16,FALSE,TRUE,FALSE,TRUE,FALSE
P06702,P16671,FALSE,FALSE,FALSE,FALSE,FALSE,,1,CellTalkDB:24691441,CellTalkDB,post_translational,24691441,1,1,1,ligand,ligand,,generic,functional,resource_specific,P06702,S100A9,protein,7,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,OmniPath,generic,functional,resource_specific,P16671,CD36,protein,16,FALSE,TRUE,FALSE,TRUE,FALSE
P35443,P16671,TRUE,FALSE,TRUE,TRUE,FALSE,,0,,CellChatDB;Wang,post_translational,,,2,2,ligand,ligand,,generic,functional,resource_specific,P35443,THBS4,protein,2,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;HGNC;CellPhoneDB;CellChatDB;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;Baccin2019;OmniPath,generic,functional,resource_specific,P16671,CD36,protein,16,FALSE,TRUE,FALSE,TRUE,FALSE
P04637,P48023,TRUE,FALSE,TRUE,TRUE,FALSE,,1,SPIKE:10969818,SPIKE;Wang,post_translational,10969818,1,2,2,ligand,ligand,Zhong2015;OmniPath,generic,functional,resource_specific,P04637,TP53,protein,1,TRUE,FALSE,FALSE,FALSE,FALSE,receptor,receptor,Zhong2015;OmniPath,generic,functional,resource_specific,P48023,FASLG,protein,1,FALSE,TRUE,TRUE,FALSE,FALSE
P01579,P48023,TRUE,FALSE,TRUE,TRUE,FALSE,,0,,Wang,post_translational,,,1,1,ligand,ligand,talklr;connectomeDB2020;Matrisome;iTALK;EMBRACE;HGNC;CellPhoneDB;GO_Intercell;CellChatDB;CellTalkDB;Ramilowski2015;Kirouac2010;DGIdb;LRdb;Baccin2019;SignaLink_function;OmniPath,generic,functional,resource_specific,P01579,IFNG,protein,15,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,Adhesome;OmniPath,generic,functional,resource_specific,P48023,FASLG,protein,1,FALSE,TRUE,TRUE,FALSE,FALSE
P29459,P48023,TRUE,FALSE,TRUE,TRUE,FALSE,,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P29459,IL12A,protein,16,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;CellPhoneDB;GO_Intercell;HPMR;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;Baccin2019;OmniPath,generic,functional,resource_specific,P48023,FASLG,protein,1,FALSE,TRUE,TRUE,FALSE,FALSE
P29460,P48023,TRUE,FALSE,TRUE,TRUE,FALSE,,0,,Wang,post_translational,,,1,1,ligand,ligand,,generic,functional,resource_specific,P29460,IL12B,protein,15,TRUE,FALSE,TRUE,FALSE,FALSE,receptor,receptor,Zhong2015;OmniPath,generic,functional,resource_specific,P48023,FASLG,protein,1,FALSE,TRUE,TRUE,FALSE,FALSE
O95407,P48023,FALSE,TRUE,FALSE,FALSE,FALSE,,5,BioGRID:9872321;HPRD:10318773;HPRD:11994433;HPRD:9872321;SIGNOR:10318773,BioGRID;CellPhoneDB;HPRD;SIGNOR;Wang,post_translational,10318773;11994433;9872321,3,5,5,ligand,ligand,,generic,functional,resource_specific,O95407,TNFRSF6B,protein,1,TRUE,FALSE,TRUE,TRUE,FALSE,receptor,receptor,Adhesome;OmniPath,generic,functional,resource_specific,P48023,FASLG,protein,1,FALSE,TRUE,TRUE,FALSE,FALSE
P10721,P32927,FALSE,FALSE,FALSE,FALSE,FALSE,,3,CancerCellMap:15308671;HPRD:15308671;NetPath:15308671,CancerCellMap;HPRD;NetPath;PhosphoPoint;Wang,post_translational,15308671,1,5,5,ligand,ligand,Baccin2019;OmniPath,generic,functional,resource_specific,P10721,KIT,protein,1,TRUE,FALSE,FALSE,TRUE,FALSE,receptor,receptor,Zhong2015;OmniPath,generic,functional,resource_specific,P32927,CSF2RB,protein,14,FALSE,TRUE,FALSE,TRUE,FALSE
Q06124,P32927,TRUE,TRUE,TRUE,TRUE,FALSE,,6,HPRD:9162089;HPRD:9254654;InnateDB:18322230;NetPath:9162089;NetPath:9254654;SIGNOR:9162089,HPRD;InnateDB;NetPath;SIGNOR;Wang,post_translational,18322230;9162089;9254654,3,5,5,ligand,ligand,,generic,functional,resource_specific,Q06124,PTPN11,protein,1,TRUE,FALSE,FALSE,FALSE,FALSE,receptor,receptor,talklr;connectomeDB2020;iTALK;Almen2009;CellCellInteractions;EMBRACE;GO_Intercell;HPMR;CellTalkDB;Surfaceome;Ramilowski2015;LRdb;OmniPath,generic,functional,resource_specific,P32927,CSF2RB,protein,14,FALSE,TRUE,FALSE,TRUE,FALSE
